"","orig.dest","orig","dest","year","orig_code","dest_code","flows","contig","comlang_off","colony","dist","col45","landlocked_orig","landlocked_dest","gdp_pc_dest","gdp_pc_orig","population_dest","population_orig"
"159","COG_AUS","COG","AUS",2015,178,36,444,0,0,0,13759.13,0,0,0,45369.3103353939,5365.85385617732,23932499,4856093
"160","COG_AUS","COG","AUS",2020,178,36,116,0,0,0,13759.13,0,0,0,46255.9119868882,3463.61601396681,25499881,5518092
"161","COL_AUS","COL","AUS",2000,170,36,178,0,0,0,14260.45,0,0,0,36510.1629185009,8256.23565432624,18991434,39629965
"162","COL_AUS","COL","AUS",2005,170,36,1690,0,0,0,14260.45,0,0,0,40542.4981461435,9205.80322428676,20178543,42647731
"163","COL_AUS","COL","AUS",2010,170,36,2515,0,0,0,14260.45,0,0,0,42588.4509885439,10790.2885314047,22154687,45222699
"164","COL_AUS","COL","AUS",2015,170,36,4752,0,0,0,14260.45,0,0,0,45369.3103353939,12911.865544982,23932499,47520667
"165","COL_AUS","COL","AUS",2020,170,36,3814,0,0,0,14260.45,0,0,0,46255.9119868882,12632.3159745986,25499881,50882884
"166","CPV_AUS","CPV","AUS",2000,132,36,0,0,0,0,17855.77,0,0,0,36510.1629185009,3875.22312403139,18991434,428178
"167","CPV_AUS","CPV","AUS",2005,132,36,2,0,0,0,17855.77,0,0,0,40542.4981461435,4741.24434110839,20178543,463034
"168","CPV_AUS","CPV","AUS",2010,132,36,0,0,0,0,17855.77,0,0,0,42588.4509885439,5699.35011863225,22154687,492644
"169","CPV_AUS","CPV","AUS",2015,132,36,3,0,0,0,17855.77,0,0,0,45369.3103353939,5782.48311996609,23932499,524740
"170","CPV_AUS","CPV","AUS",2020,132,36,6,0,0,0,17855.77,0,0,0,46255.9119868882,5666.78699317254,25499881,555988
"171","CRI_AUS","CRI","AUS",2000,188,36,1,0,0,0,13829.48,0,0,0,36510.1629185009,9942.53576923222,18991434,3962369
"172","CRI_AUS","CRI","AUS",2005,188,36,32,0,0,0,13829.48,0,0,0,40542.4981461435,11139.6467380244,20178543,4285504
"173","CRI_AUS","CRI","AUS",2010,188,36,38,0,0,0,13829.48,0,0,0,42588.4509885439,13224.8553065987,22154687,4577371
"174","CRI_AUS","CRI","AUS",2015,188,36,67,0,0,0,13829.48,0,0,0,45369.3103353939,15060.8576999103,23932499,4847805
"175","CRI_AUS","CRI","AUS",2020,188,36,46,0,0,0,13829.48,0,0,0,46255.9119868882,15410.162793717,25499881,5094114
"176","CUB_AUS","CUB","AUS",2000,192,36,9,0,0,0,14717.39,0,0,0,36510.1629185009,11282.1571622659,18991434,11126423
